file_path,modulation_type,response,pred,is_true,,,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.33dB__012_20250127_145942.npy,16PAM,"4PAM

Wait, the response is",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.35dB__049_20250127_145949.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.50dB__066_20250127_164737.npy,16PAM,"OQPSK

Okay, so I need",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.52dB__053_20250127_145950.npy,16PAM,"OQPSK


The given signal",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.63dB__089_20250127_145958.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.97dB__060_20250127_164736.npy,16PAM,"4PAM


The signal information",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.03dB__020_20250127_164727.npy,16PAM,"OQPSK

Okay, so I need",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.06dB__049_20250127_164733.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.32dB__096_20250127_145959.npy,16PAM,"OQPSK

Okay, so Im",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.34dB__099_20250127_150000.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.38dB__058_20250127_164735.npy,16PAM,"8PSK

Wait, let me think",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.52dB__009_20250127_145941.npy,16PAM,"8QAM

Alright, let me break",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.55dB__014_20250127_145942.npy,16PAM,"4PAM


The modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.56dB__015_20250127_145942.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.60dB__069_20250127_145954.npy,16PAM,"OQPSK

Okay, so Im",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.74dB__013_20250127_145942.npy,16PAM,"OQPSK


The modulation type",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-2.99dB__051_20250127_164733.npy,16PAM,"4PAM

Wait, Im a",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.16dB__026_20250127_164727.npy,16PAM,"OQPSK

Okay, so Ive",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.28dB__051_20250127_145950.npy,16PAM,"

The modulation type of this signal information",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.30dB__036_20250127_145947.npy,16PAM,"4PAM


The given signal",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.31dB__056_20250127_145951.npy,16PAM,"8APSK

To determine the modulation type",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.36dB__024_20250127_164726.npy,16PAM,"8ASK

The provided signal information has a",8ASK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.38dB__005_20250127_145940.npy,16PAM,"OQPSK

Okay, Im trying",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.39dB__042_20250127_145948.npy,16PAM,"OQPSK


The given signal",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.45dB__065_20250127_164737.npy,16PAM,"OQPSK


### Answer:",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.74dB__050_20250127_145949.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.88dB__004_20250127_164723.npy,16PAM,"8PSK

Okay, so Im",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-3.98dB__031_20250127_145946.npy,16PAM,"OQPSK

Okay, so Im",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-4.01dB__060_20250127_145952.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-4.11dB__064_20250127_164737.npy,16PAM,"8PSK

Wait, no, I",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-4.17dB__009_20250127_164724.npy,16PAM,"OQPSK

Okay, Im trying",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-4.50dB__073_20250127_164739.npy,16PAM,"4PAM

The reasoning behind the selection",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-4.65dB__027_20250127_145945.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-4.85dB__006_20250127_164723.npy,16PAM,"OQPSK

Okay, so Im",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.01dB__075_20250127_145955.npy,16PAM,"OQPSK

Im sorry, but",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.09dB__061_20250127_164736.npy,16PAM,"4PAM


The given signal",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.11dB__085_20250127_164742.npy,16PAM,"4PAM

Wait, I need to",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.14dB__043_20250127_145948.npy,16PAM,"OQPSK

Okay, lets try",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.19dB__030_20250127_164728.npy,16PAM,"4PAM

Im sorry, but",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.50dB__071_20250127_164738.npy,16PAM,"GMSK

To determine the modulation type based",GMSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.57dB__092_20250127_145958.npy,16PAM,"4PAM

Okay, lets try",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.58dB__000_20250127_164722.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.62dB__081_20250127_164741.npy,16PAM,"4PAM

Wait, I need to",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-5.68dB__041_20250127_145948.npy,16PAM,"8PSK

Wait, no, that",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-6.33dB__066_20250127_145953.npy,16PAM,"OQPSK

Okay, Im trying",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-6.50dB__018_20250127_164726.npy,16PAM,"4PAM

Alright, lets break",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-6.53dB__021_20250127_164727.npy,16PAM,"4PAM

Alright, lets dive",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-6.81dB__078_20250127_145956.npy,16PAM,"4PAM

Okay, lets tackle",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-6.99dB__038_20250127_164730.npy,16PAM,"4PAM

Wait, let me think",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.00dB__021_20250127_145944.npy,16PAM,"OQPSK

Okay, so I need",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.07dB__018_20250127_145943.npy,16PAM,"4PAM
Okay, so Ive",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.09dB__035_20250127_145946.npy,16PAM,"4PAM

Wait, no, I",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.11dB__022_20250127_145944.npy,16PAM,"4PAM


The given signal",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.12dB__076_20250127_164740.npy,16PAM,"4PAM


The modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.13dB__015_20250127_164726.npy,16PAM,"8APSK

Okay, so Im",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.13dB__098_20250127_164745.npy,16PAM,"OQPSK

Alright, Im trying",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.33dB__086_20250127_164742.npy,16PAM,"4PAM

Wait, why did you",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.35dB__055_20250127_145951.npy,16PAM,"4PAM

Step-by-step explanation:",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.37dB__067_20250127_164737.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.43dB__048_20250127_145949.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.44dB__017_20250127_145943.npy,16PAM,"OQPSK

The reasoning behind the answer",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.46dB__079_20250127_164740.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.94dB__016_20250127_145943.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-7.99dB__098_20250127_150000.npy,16PAM,"OQPSK

The reasoning is based on",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.14dB__045_20250127_164732.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.17dB__080_20250127_164741.npy,16PAM,"16PAM

Okay, so I",16PAM,TRUE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.17dB__084_20250127_164742.npy,16PAM,"4PAM

Okay, let me try",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.29dB__087_20250127_145957.npy,16PAM,"8ASK

Okay, so Im trying",8ASK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.37dB__097_20250127_145959.npy,16PAM,"OQPSK


The signal statistics",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.42dB__074_20250127_164739.npy,16PAM,"4PAM

Okay, I need to",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.49dB__032_20250127_145946.npy,16PAM,"OQPSK

Okay, let me try",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.52dB__064_20250127_145953.npy,16PAM,"16PAM

Okay, lets",16PAM,TRUE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.61dB__088_20250127_145958.npy,16PAM,"4PAM


The modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.72dB__068_20250127_145953.npy,16PAM,"OQPSK


The provided signal",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-8.76dB__096_20250127_164745.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.03dB__084_20250127_145957.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.05dB__073_20250127_145955.npy,16PAM,"OQPSK

Okay, so Im",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.28dB__023_20250127_164726.npy,16PAM,"4PAM

Okay, lets try",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.31dB__080_20250127_145956.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.47dB__042_20250127_164731.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.54dB__070_20250127_164738.npy,16PAM,"

The modulation type of this signal information",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.55dB__022_20250127_164727.npy,16PAM,"4PAM

To determine the modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.65dB__032_20250127_164728.npy,16PAM,"4PAM

Wait, the user has",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-9.79dB__024_20250127_145944.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.07dB__090_20250127_145958.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.09dB__000_20250127_145939.npy,16PAM,"4PAM


Alright, let",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.10dB__056_20250127_164734.npy,16PAM,"GFSK


Okay, so I",GFSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.27dB__008_20250127_164724.npy,16PAM,"4PAM


Alright, let",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.28dB__036_20250127_164729.npy,16PAM,"OQPSK

The signals kstat",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.28dB__085_20250127_145957.npy,16PAM,"4PAM

Okay, so Ive",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.59dB__027_20250127_164727.npy,16PAM,"Okay, let me try to figure out the",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.78dB__079_20250127_145956.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.79dB__008_20250127_145941.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_0.93dB__087_20250127_164743.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.24dB__010_20250127_145941.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.24dB__030_20250127_145945.npy,16PAM,"OQPSK

Im sorry, but",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.34dB__028_20250127_145945.npy,16PAM,"4PAM

Okay, Im trying",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.34dB__068_20250127_164738.npy,16PAM,"OQPSK


The given signal",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.50dB__097_20250127_164745.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.52dB__094_20250127_145959.npy,16PAM,"OQPSK

Okay, so Im",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.62dB__095_20250127_145959.npy,16PAM,"OQPSK

Okay, lets try",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.86dB__029_20250127_164728.npy,16PAM,"OQPSK

Okay, so I need",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_1.97dB__013_20250127_164725.npy,16PAM,"4PAM

Wait, let me think",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.01dB__070_20250127_145954.npy,16PAM,"8PAM

Wait, no, I",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.07dB__035_20250127_164729.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.23dB__001_20250127_164722.npy,16PAM,"4PAM


Alright, let",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.30dB__037_20250127_164730.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.65dB__074_20250127_145955.npy,16PAM,"4PAM

Okay, lets try",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.70dB__062_20250127_145952.npy,16PAM,"4PAM

Okay, let me try",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.73dB__061_20250127_145952.npy,16PAM,"4PAM


The modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.83dB__099_20250127_164746.npy,16PAM,"4PAM

Okay, Im trying",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_2.92dB__090_20250127_164743.npy,16PAM,"8PSK

Wait, lets double",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.01dB__071_20250127_145954.npy,16PAM,"OQPSK

Okay, so I need",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.28dB__011_20250127_164725.npy,16PAM,"8APSK

Okay, so I need",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.32dB__093_20250127_145959.npy,16PAM,"OQPSK


The given signal",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.38dB__001_20250127_145939.npy,16PAM,"OQPSK

Okay, so I need",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.38dB__089_20250127_164743.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.46dB__023_20250127_145944.npy,16PAM,"OQPSK


The signal statistics",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.63dB__047_20250127_164732.npy,16PAM,"4PAM

Wait, how did I",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.83dB__063_20250127_145952.npy,16PAM,"4PAM


The given signal",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_3.84dB__003_20250127_145940.npy,16PAM,"OQPSK

To determine the modulation type",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.09dB__025_20250127_164727.npy,16PAM,"4PAM

The reasoning behind the selection",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.29dB__082_20250127_145956.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.31dB__091_20250127_164744.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.49dB__029_20250127_145945.npy,16PAM,"OQPSK

Wait, let me think",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.65dB__006_20250127_145940.npy,16PAM,"8PSK

Wait, but I need",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.68dB__019_20250127_145943.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.70dB__039_20250127_145947.npy,16PAM,"8PSK

Wait, Im a",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.85dB__046_20250127_145949.npy,16PAM,"4PAM


The modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_4.94dB__046_20250127_164732.npy,16PAM,"OQPSK

Okay, so Im",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_5.04dB__054_20250127_164734.npy,16PAM,"4PAM

Okay, lets try",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_5.43dB__044_20250127_164731.npy,16PAM,"OQPSK

Okay, so I need",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_5.51dB__004_20250127_145940.npy,16PAM,"Okay, so Im trying to figure out",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_5.52dB__034_20250127_164729.npy,16PAM,80.00000+,,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_5.54dB__063_20250127_164736.npy,16PAM,"OQPSK

Okay, lets try",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_5.76dB__053_20250127_164734.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_5.84dB__088_20250127_164743.npy,16PAM,"

The given signal information has the following",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.03dB__003_20250127_164723.npy,16PAM,"4PAM

Okay, Im trying",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.10dB__007_20250127_164724.npy,16PAM,"OQPSK

Im sorry, I",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.13dB__075_20250127_164739.npy,16PAM,"8PSK

But wait, the user",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.17dB__043_20250127_164731.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.24dB__072_20250127_145954.npy,16PAM,"4PAM

Okay, so Ive",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.26dB__072_20250127_164739.npy,16PAM,"4PAM

Im sorry, but",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.29dB__065_20250127_145953.npy,16PAM,"OQPSK


### Answer:",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.31dB__094_20250127_164744.npy,16PAM,"Alright, lets try to figure out the",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.43dB__016_20250127_164726.npy,16PAM,"8PSK

Wait, lets think",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.46dB__031_20250127_164728.npy,16PAM,"4PAM

To determine the modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.74dB__057_20250127_164735.npy,16PAM,"4PAM


### Answer:",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.89dB__057_20250127_145951.npy,16PAM,"4PAM

Wait, no, I",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.96dB__033_20250127_145946.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_6.97dB__034_20250127_145946.npy,16PAM,"8PSK

Wait, let me think",,FALSE,,TRUE,,
